영화명,감독,main_emotion,sub_emotion
개인교수 2,버트 I. 고든,기타,['부끄러운']
더스트,마리온 한셀,화남,['악의적인']
디바,장 자끄 베넥스,화남,['악의적인']
벤지 2,조 캠프,기타,['취약한']
선생님 그리기,곽재용,우울,['눈물이 나는']
로보트군단과 메카3,김청기,기타,['희생된']
마이크로 특공대 다이야 트론 5,"안봉식,정수용",기타,['마비된']
서브웨이,뤽 베송,행복,['흥분']
귀소,"김만태,노효정,민병관,박재호,변경원,이규환,권칠인,김정진,김호겸,문왕곤,배경윤,송영진",기타,['한심한']
햇빛,"김만태,노효정,민병관,박재호,변경원,이규환,권칠인,김정진,김호겸,문왕곤,배경윤,송영진",우울,['비통한']
꿈을 줍는 아이,민병관,우울,['눈물이 나는']
추운 날 죽은 새 ,박재호,우울,['가난한 불우한']
빛 바랜 사진,김만태,기타,['눈물이 나는']
생일파티,변경원,기타,['안달하는']
원의 궤적,노효정,우울,['염세적인']
눈,이규환,화남,['괴로워하는']
거미 여인의 키스,헥터 바벤코,기타,['희생된']
매니악,조셉 맨진,놀람,['충격 받은']
란,구로사와 아키라,기타,['희생된']
조용한 대지,제프 머피,우울,"['염세적인', '충격 받은']"
스타체이서-오린의 전설,스티븐 한,행복,"['염세적인', '흥분']"
버려진 우산,조진,두려움,['희생된']
브라질,테리 길리암,우울,"['염세적인', '취약한']"
불가사리,"신상옥,정건조",우울,"['눈물이 나는', '마비된']"
불가사리,"신상옥,정건조",우울,['눈물이 나는']
13일의 금요일 5,대니 스타인먼,우울,['마비된']
카이로의 붉은 장미,우디 알렌,기타,['염세적인']
리젠드,리들리 스콧,우울,['염세적인']
백만장자 브루스터,월터 힐,기타,['안달하는']
특근,마틴 스코세이지,행복,['자신하는']
수잔을 찾아서,수잔 세이들먼,행복,['흥분']
소금,신상옥,행복,['흥분']
꿀꿀이가 본 온도계,,기타,['한심한']
인생이여 다시한번,버드 요킨,화남,['분노']
시체들의 낮,조지 A.로메로,기타,['두려운']
마지막 과학숙제,조나단 R. 베투엘,화남,['악의적인']
로보트왕 썬샤크,박승철,화남,['방어적인']
청춘의 승부,해롤드 베커,행복,['자신하는']
캣츠 아이,루이스 티그,기타,['조심스러운']
똘이와 제타 로보트,김청기,기타,['염세적인']
독고탁 다시 찾은 마운드,문덕성,기타,['자신하는']
낮보다 밝은밤,선우완,우울,['가난한 불우한']
말라 노체,구스 반 산트,우울,['염세적인']
다윗대왕,브루스 베레스포드,행복,['기쁨']
폴리스,모리스 피알라,우울,['마비된']
밤의 미녀,존 랜디스,우울,['염세적인']
코카콜라 키드,두산 마카베예프,두려움,['조심스러운']
죄와 사랑,장-클로드 미시앤,두려움,['희생된']
아그네스의 피,폴 버호벤,평온,"['자신하는', '염세적인', '안도']"
알라모의 총성,루이 말,화남,['분노']
샤롯데,캐롤린 휴퍼트,기타,['비통한']
플렌티,프레드 쉐피시,우울,['염세적인']
비운의 모짜르트,밀로스라브 루터,기타,['염세적인']
쥬커 베이비,퍼시 애들론,우울,['마비된']
타공황제,서극,우울,['부끄러운']
사랑의 열정,로버트 알트만,기타,['환멸을 느끼는']
은하철도의 밤,스기이 기사부로,우울,['마비된']
기쁨과 슬픔을 넘어서,윤기찬,우울,['실망한']
방랑자,아네스 바르다,행복,['자신하는']
하메룬의 계약,이지 바르타,기타,['염세적인']
유리벽,스콧 골드스타인,화남,['배신당한']
태풍클럽,소마이 신지,기타,['조심스러운']
슈퍼K,시기노 아키라,기타,['염세적인']
루팡 3세-바빌론의 황금전설,요시다 시게츠구,기타,['신이 난']
데몬스,람베르토 바바,기타,['혐오스러운']
굴리스,루카 베르코비비,두려움,['희생된']
시발,,우울,['후회되는']
다르나 아자이브,릴릭 수비오,우울,['부끄러운']
탐정,장 뤽 고다르,두려움,"['혐오스러운', '조심스러운']"
조찬 클럽,존 휴즈,기타,['고립된(당황한)']
미시마,폴 슈래더,두려움,['조심스러운']
동년왕사,허우샤오셴,우울,['염세적인']
미스터 러브,로이 배터스비,우울,"['조심스러운', '고립된']"
마리아에 경배를,장 뤽 고다르,행복,['흥분']
좀비오,스튜어트 고든,화남,"['악의적인', '억울한']"
피위의 대모험,팀 버튼,우울,"['충격 받은', '부끄러운']"
닭초절임 ,끌로드 샤브롤,화남,['악의적인']
조선아 달려라,박승복,행복,"['감사하는', '눈물이 나는']"
조선아 달려라,박승복,기타,['눈물이 나는']
마지막 강도,이지 바르타,화남,['억울한']
장갑의 잃어버린 세계,이지 바르타,우울,['마비된']
머피의 로맨스,마틴 리트,우울,['고립된']
첫경험,멜 담스키,두려움,['두려운']
에너미 마인,볼프강 페터센,행복,['흥분']
신비의 체험,존 휴즈,기타,['충격 받은']
완전히 미친,마가레테 폰 트로타,우울,['염세적인']
러브 호텔,소마이 신지,기타,['눈물이 나는']
미란다:８요일의여자,틴토 브라스,기타,['염세적인']
"도레미파 소녀, 피가 끓는다",구로사와 기요시,기타,"['혐오스러운', '두려운']"
광장,,기타,['고립된']
페일 라이더,클린트 이스트우드,화남,['악의적인']
소레카라,모리타 요시미츠,기타,['염세적인']
변덕쟁이 오렌지로드,,두려움,['두려운']
유맹공복,왕종,두려움,['조심스러운']
금지된 만남,Thomas L. Neff,두려움,['조심스러운']
연인들,미철 배트-애덤,행복,['흥분']
지옥의 방,Pierre De Moro,행복,['흥분']
양척노호,오우삼,화남,['악의적인']
헬리콥터 기동대,Gerban Ceth,행복,['자신하는']
불사의 형제,Prayag Raj,우울,['염세적인']
데드링거,테디 페이지,행복,['자신하는']
데스 위시 3,마이클 워너,행복,['흥분']
마담과 갱 그리고 가방의 행방,Miguel Hermoso,화남,['악의적인']
탄지어,Michael E. Briant,기타,['분노']
한밤의 추적,Gilles B?hat,놀람,['충격 받은']
헤라클레스 2,루이지 코지,화남,['악의적인']
조슈아 스캔들,Ted Kotcheff,우울,['비통한']
표리(表裏),"곽재용,민병관",우울,['비통한']
마데라 의과 대학,Harvey Miller,행복,['만족스러운']
세기의 결혼 성전,Philippe Galland,두려움,"['희생된', '자신하는']"
재견칠일정,장견정,두려움,['희생된']
자유의 전사,Avi Nesher,평온,"['악의적인', '안도']"
필사의 24시간,Leo Fong,우울,['환멸을 느끼는']
정글의 반란,Haskell Wexler,두려움,['취약한']
닌자 터프,Woo-sang Park,기타,['조심스러운']
신 공포의 텍사스,"John Carr,Phillip Marshak",우울,['마비된']
공포의 마이애미,Alberto De Martino,우울,['마비된']
비상 경보,Hal Barwood,기타,"['마비된', '마비된']"
맥시 멜론,Paul Aaron,우울,['눈물이 나는']
최후의 선택,Sheldon Larry,두려움,"['두려운', '두려운']"
폭소 부대,"Yehuda Barkan,Ezra Shem-Tov",기타,['마비된']
소방관 터크 182,Bob Clark,화남,['악의적인']
저승사자,유가영,기타,['혼란스러운(당황한)']
프라이비트,리가르트 반 덴 버그,우울,['염세적인']
Delivery Boys,Ken Handler,기타,['혐오스러운']
평안야,진흔건,우울,['마비된']
비호기병,여윤항,우울,['비통한']
썬더앨리,J.S. Cardone,두려움,['희생된']
바운티풀 가는 길,피터 매스터슨,행복,['기쁨']
작은 독립영화사의 흥망성쇠,장 뤽 고다르,행복,"['흥분', '만족스러운']"
후렛시 앤드 화이어,제랄드 키코인,화남,['악의적인']
알란탐의 사안자,우인태,우울,['죄책감의']
뜨거운 청춘,존 로빈슨,행복,['흥분']
외로운 영웅,Alan Beattie,우울,['염세적인']
성난네트워크,피터 H. 헌트,두려움,['두려운']
적색경보,"폴 도노반,Digby Cook,토니 랜들",우울,['마비된']
용발위,Chung-Hsing Chao,우울,['비통한']
닌자 대 닌자,John Lloyd,행복,['흥분']
야생의 메아리,찰스 카우프만,행복,['흥분']
로라:카로스의 탈출,라울 페르난데즈,우울,['마비된']
투명인간과 미녀,Alan Holleb,두려움,['혼란스러운']
러브보트,댄 월만,행복,['흥분']
암흑가의 사투,Ackyl Anwari,우울,['마비된']
지옥의 무법자,Nick Lizaso,우울,['마비된']
사각지대,Will Zens,행복,['흥분']
애신일호,임영동,기타,['혼란스러운(당황한)']
타착차,Danny Lee,우울,['비통한']
스페이스 레이지,Conrad E. Palmisano,행복,['흥분']
산그리엔토의 탈출,알프레도 구롤라,기타,['악의적인']
나르코,Alfonso Perez de Alba,우울,['비통한']
처녀십계,Chung-kuang Wang,우울,['환멸을 느끼는']
하필유아,정칙사,우울,['눈물이 나는']
우주탈출,Lin Sten,두려움,['두려운']
핫 칠리,William Sachs,행복,['흥분']
생존게임,Roberta Findlay,기타,['두려운']
왕눈이 체포작전,장동조,화남,['악의적인']
죽음의 추적자,Norman Cohen,기타,['회의적인']
터프 미시간,조쉬 벡커,두려움,['두려운']
정보용호투,진준량,행복,['흥분']
스파이 대소동,존 랜디스,행복,['흥분']
분노의 섬,테드 니콜라우,기타,['희생된']
성공전선 이상없다,켄 핀클먼,우울,['환멸을 느끼는']
코만도5 5인의 특공대,E.W. 스왁해머,행복,['흥분']
축위호운,원상인,행복,['흥분']
공희발재,석천,두려움,['희생된']
타이탄의 지배자,윌리암 멀론,놀람,['충격 받은']
닌자 스트라이크,"Yeong-cheol Choi,Chun Bang Yang",두려움,['희생된']
강시박인,"Chong Biu Man,Gu Sam-Lam",화남,['악의적인']
천생보일대,구양준,우울,['가난한 불우한']
유럽휴가 대소동,애미 핵커링,두려움,['혼란스러운']
법과 사랑,자끄 드레이,기타,['마비된']
새비지다운,Simon Nuchtern,기타,['환멸을 느끼는']
매드매드 쇼,Krishna Shah,기타,['마비된']
천국에 이르는 길,Michael A. Simpson,우울,['부끄러운']
포위된 사랑,구스 트리코니스,우울,['염세적인']
사랑의 스파이,스탠 드라고티,화남,"['혼란스러운', '배신당한']"
정글의 플레이보이,니콜라스 마이어,두려움,['희생된']
"사랑, 그리고 슬픔의 환영",안소니 B. 리치몬드,우울,['마비된']
틴울프,로드 다니엘,기타,['마비된']
스콜피오 나이트,페꾸에 갈라가,우울,['염세적인']
하울링 2,필립 모라,우울,['염세적인']
강시옹녀 : 독주,Ling Pang,화남,['억울한']
죽음의 탈출,"Dan Rosenthal,Richard Belding",화남,['악의적인']
정염의 연주,Krishna Shah,행복,['흥분']
톰보이,허브 프리드,화남,['안달하는']
태극권,Yi-Hsiung Chi,화남,['좌절한']
내 친구 소녀대,육검명,두려움,['두려운']
케이브 걸,데이브 올리버,기타,['환멸을 느끼는']
전처,Chu-Chin Wang,우울,['눈물이 나는']
여인의 분노,시리오 H. 산티아고,화남,['악의적인']
다릴,사이먼 윈서,우울,['마비된']
쌍룡회,Chiu Lee,행복,['흥분']
쥬니어,Jim Hanley,기타,['마비된']
퓨리 투 프리덤,Erik Jacobson,기타,['염세적인']
정글레이더스,안토니오 마거리티,행복,['흥분']
벽력정,장철,화남,['악의적인']
스트립퍼,제롬 게리,행복,['흥분']
죽음의 초대자,Ben Yalung,우울,['마비된']
브롱스가의 영웅,William Szarka,화남,['악의적인']
더티 엔젤,Sig Shore,행복,['흥분']
싸이코 코믹,Richard Driscoll,우울,['환멸을 느끼는']
노우귀귀,엽전진,기타,['염세적인']
킥스,William Wiard,기타,['두려운']
빌리진,매토 로빙,기타,['환멸을 느끼는']
2001년의 여인왕국,바비 A. 수아레즈,화남,['악의적인']
말콤 레이바,Jos? Luis Urquieta,기타,['희생된']
붉은 무대,Lina Wertm?ller,기타,['혐오스러운']
연애특강,Ching-Chieh Lin,두려움,['조심스러운']
황당왕야,진가림,두려움,['희생된']
영웅자보,당위성,기타,['혼란스러운(당황한)']
존 트루퍼 : 외계인 군대,대니 빌슨,기타,['눈물이 나는']
더티골드,"Lito Lapid,Eddie Nicart",놀람,['충격 받은']
여자를 쫓는 남자,이반 페서,행복,"['흥분', '비통한']"
최악의 전투,Jobic Wong,화남,['구역질 나는']
불멸의 주마,Jun Raquiza,화남,['악의적인']
어둠이 내릴때,Eitan Green,기타,['염세적인']
회색 눈의 사나이,삐에르 그르니에 디페레,우울,['비통한']
우주방랑자,마이크 호지스,우울,['염세적인']
도박꾼,리차드 브룩스,기타,['조심스러운']
지옥의 돌격대,"Gope T. Samtani,Imma Tantowi",두려움,['희생된']
창공의 도전자,George Miller,두려움,['두려운']
마약 테러,Rub?n Galindo,기타,['희생된']
퓨처 킬,Ronald W. Moore,화남,['안달하는']
마검전설,클라이브 도너,기타,['혼란스러운']
사랑과 우정,Mike Walker,기타,['희생된']
솔로특급,미하일 튜마니쉬빌리,행복,['흥분']
열정야곡,주연평,우울,['눈물이 나는']
실종단서,John Prescott,기타,['안도']
전장의 로망스,아그네츠카 홀란드,우울,['눈물이 나는']
살인무도회,조나단 린,행복,['흥분']
영혼의 방황,조지 미할카,화남,['악의적인']
데드레전드,루돌프 디 앤다,기타,['두려운']
세인트 엘모스의 열정,조엘 슈마허,두려움,['걱정스러운']
이브의 딸,Elwood Perez,기타,['고립된(당황한)']
은행털이,알렉산드라 아카디,기타,['충격 받은']
위험한 고아들,존 레잉,화남,['악의적인']
왕조현의 천관사복,노준곡,두려움,['조심스러운']
스페샬리스트,빠트리스 르꽁트,기타,['눈물이 나는']
변칙 플레이,닐 이스라엘,기타,['질투하는']
러브써클,G?rard Kiko?ne,기타,['당황']
엠프티 비치,Chris Thomson,기타,['회의적인']
데블 코만도,E.G. Bakker,우울,['비통한']
아론의 연인,Ying Git Wong,두려움,['희생된']
가무승평,여윤항,기타,['조심스러운']
소장,John Woo,기타,['실망한']
제3의 여인,미셸 드빌,기타,['가난한 불우한']
아원의,Ga-Ho Lau,우울,['마비된']
머나먼 시애틀,제레미 케이건,두려움,['조심스러운']
비정의 외인지대,"맛츠 헬그,데렉 포드",기타,['실망한']
컴퓨터 우주탐험,조 단테,우울,['마비된']
코코는 청춘이다,Dan Verete,두려움,['버려진']
패밀리오너,메어 자르치,화남,['배신당한']
소년 죠나시,Yvonne Mackay,우울,['고립된']
갓챠,제프 카뉴,놀람,['충격 받은']
마지막 데이트,크리스토퍼 케인,우울,['실망한']
더블타겟,?douard Molinaro,우울,['마비된']
침묵의소리,제리 리드,우울,['눈물이 나는']
마등신탐,Lieh Lo,우울,['눈물이 나는']
대호행동,Wai-Hung Liu,우울,['마비된']
등대선,예지 스콜리모프스키,두려움,['혼란스러운']
여의 보검 : 여자의 일생,강 첸 치우,기타,['가난한 불우한']
용전용지,Cheng-Lin Ko,기타,['염세적인']
법강선구,임덕록,두려움,['희생된']
코믹열정,Carl Caldana,우울,['실망한']
고련화,Ching-Chieh Lin,우울,['염세적인']
킬러,페르난도 디 레오,기타,['낙담한']
타이페이 스토리,에드워드 양,우울,['염세적인']
총알을 삼킨 사나이,알프레도 B. 크리벤나,기타,['두려운']
샤오피 이야기,천 쿤허우,놀람,['충격 받은']
자매 언덕,오바야시 노부히코,기타,['눈물이 나는']
터프,프리츠 키에르쉬,기타,['악의적인']
천사의 대화,데릭 저먼,기타,['구역질 나는']
나인 하프 위크,아드리안 린,기타,['혐오스러운']
레이디 인 블랙,토니노 발레리,우울,['환멸을 느끼는']
에프 엑스,로버트 만텔,기타,['마비된']
예스마담-황가사저,원규,화남,"['악의적인', '염세적인']"
빅 트러블,존 카펜터,기타,['신뢰하는']
델타 포스,매나헴 고우란,우울,['마비된']
폴리스 아카데미 3,재리 패리스,기타,['당혹스러운']
어젯밤에 생긴일,에드워드 즈윅,화남,['악의적인']
오델로,프란코 제피렐리,우울,['염세적인']
영 블러드,피터 마클,화남,['좌절한']
호소자,장미군,기타,['혐오스러운']
미션,롤랑 조페,기타,"['마비된', '희생된']"
에이리언 2,제임스 카메론,두려움,"['희생된', '충격 받은']"
의개운천,나문,기타,['신이 난']
용형호제,성룡,우울,['비통한']
아틱 히트,레니 할린,평온,['안도']
킹콩 2,존 길러먼,우울,['염세적인']
런 어웨이,리차드 터글,두려움,['두려운']
엘레니,피터 에이츠,두려움,['조심스러운']
분노의 눈동자,리차드 사라피앙,두려움,['희생된']
홍금보의 대나팔,"진흔건,류관위",두려움,['조심스러운']
깨진 거울속의 여인들,마린 고리스,화남,['악의적인']
크로커다일 던디,피터 화이맨,두려움,['남의 시선을 의식하는']
녹색광선,에릭 로메르,두려움,"['조심스러운', '눈물이 나는']"
쓰리 아미고,존 랜디스,기타,['부끄러운']
노머시,리차드 피어스,우울,['염세적인']
영웅본색,오우삼,기타,['염세적인']
코브라,조지 P. 코스마토스,화남,['악의적인']
플래툰,올리버 스톤,기타,['환멸을 느끼는']
나이트 크리프스,프래드 대커,두려움,['걱정스러운']
용호방,주연평,두려움,['혼란스러운']
첫사랑,유봉지,기타,['버려진']
돌아온 터미네이터,셀지오 마르티노,우울,['비통한']
퀵 실버,탐 도넬리,기타,['비통한']
가브린,스티브 마이너,기타,['혐오스러운']
엘리미네이터,피터 마누지안,놀람,['충격 받은']
용재강호,우인태,화남,"['악의적인', '억울한']"
마비취,왕정,화남,['악의적인']
호소매,주연평,기타,['자신하는']
고릴라,존 어빈,우울,['마비된']
작은 신의 아이들,랜다 헤인스,두려움,['희생된']
컬러 오브 머니,마틴 스코세이지,두려움,['회의적인']
천리구차파:최가박당4,임영동,기타,['악의적인']
블루 벨벳,데이비드 린치,놀람,['충격 받은']
탑건,토니 스콧,행복,['흥분']
탑건,토니 스콧,우울,['염세적인']
부귀열차,홍금보,행복,['흥분']
동방독응,홍금보,두려움,['희생된']
하워드 덕,윌라드 휴익,화남,['악의적인']
블러드 타이,지아코모 바티아토,기타,['안도']
모스키토 코스트,피터 위어,우울,['환멸을 느끼는']
스카이 레이더스,코란 에그레스톤,기타,['두려운']
터커,프란시스 포드 코폴라,우울,['염세적인']
쏘울맨,스티브 마이너,행복,['자신하는']
백 투 스쿨,알란 메터,행복,['흥분']
베티블루 37.2,장-자크 베넥스,화남,['악의적인']
듀엣 포 원,안드레이 곤잘롭스키,우울,['눈물이 나는']
로즈,양범,두려움,['혼란스러운']
동방여신,서극,행복,['흥분']
기연출사,정소동,두려움,['조심스러운']
기연출사,정소동,기타,['혼란스러운']
강시소자,조중흥,기타,['혼란스러운']
강시번생,장기,기타,['고립된(당황한)']
살바도르,올리버 스톤,우울,['눈물이 나는']
라가비아,귀셉베 파르토니 그리디,기타,['악의적인']
스페이스 캠프,해리 와이너,평온,['안도']
귀당 귀,임영동,기타,['마비된']
플라이,데이빗 크로넨버그,기타,['희생된']
사대선봉,원규,기타,['두려운']
강호영웅,구양준,화남,['배신당한']
마지막 황후,"진가림,손창국",기타,['조심스러운']
마타도르,페드로 알모도바르,우울,['부끄러운']
모나리자,닐 조단,두려움,['버려진']
부리스,폴 린처,화남,['악의적인']
아름다운 정부,알리네 미세르망,우울,['염세적인']
더티우먼,가브리엘 라비아,화남,['악의적인']
네버 투영 투 다이,잴 패트먼,기타,['악의적인']
중화영웅,이연걸,우울,['눈물이 나는']
돈쥬앙,쟌 프랑코 민고찌,기타,['조심스러운']
공처 2인방,종진도,놀람,['충격 받은']
마이애미 커넥션,박우상,기타,['비통한']
베니스의 정사,마우로 볼로그니니,행복,['자신하는']
영웅무언,남내재,기타,['혼란스러운(당황한)']
몽중인,구정평,우울,['마비된']
테크닉,"장 루이스 리샤트,스티브 바네트",화남,['악의적인']
세뇨라 로라,비가스 루나,우울,['염세적인']
라본느,살바토레 삼페리,기타,['혐오스러운']
블랙커플,살바토레 삼페리,기타,['혼란스러운']
천외천소자,김장량,우울,['비통한']
굿바이 엉클톰,"구알티에로 자코페티,프랑코 E. 프로스페리",우울,"['충격 받은', '염세적인', '염세적인']"
장미의 이름,장 자끄 아노,기타,['혼란스러운(당황한)']
마뉴엘라,파올로 파레그나,우울,['비통한']
나쁜 피,레오 까락스,우울,['비통한']
블랙댄싱,비토리오 다 시스티,기타,['부끄러운']
레이디,레위스 티크,기타,['환멸을 느끼는']
태,하명중,평온,['느긋']
